1,142.177.216.158,,,,,93,2015-03-22 08:01:29,2015-03-22 08:02:27,正常完成
3,142.177.216.158,,,,,193,2015-03-22 09:48:31,2015-03-22 09:49:09,正常完成
5,142.177.216.158,,,,,64,2015-03-22 10:33:21,2015-03-22 10:33:57,正常完成
7,142.177.216.158,,,,,0,2015-03-22 10:48:46,2015-03-22 10:49:20,正常完成
9,142.177.216.158,,,,,155,2015-03-22 10:56:11,2015-03-22 10:56:44,正常完成
11,223.104.5.234,,,,,49,2015-03-22 11:06:44,2015-03-22 11:07:47,正常完成
13,114.81.254.160,,,,,77,2015-03-22 11:09:28,2015-03-22 11:11:48,正常完成
15,122.4.76.133,,,,,49,2015-03-22 11:10:26,2015-03-22 11:11:58,正常完成
17,123.116.35.139,,,,,179,2015-03-22 11:13:14,2015-03-22 11:14:29,正常完成
19,117.136.0.136,,,,,192,2015-03-22 11:17:30,2015-03-22 11:19:06,正常完成
21,119.184.121.211,,,,,150,2015-03-22 11:18:03,2015-03-22 11:19:18,正常完成
23,219.147.6.238,,,,,164,2015-03-22 11:18:09,2015-03-22 11:20:15,正常完成
25,101.224.88.70,,,,,36,2015-03-22 11:20:33,2015-03-22 11:21:57,正常完成
27,101.226.125.113,,,,,170,2015-03-22 11:23:18,2015-03-22 11:23:42,正常完成
29,101.226.125.15,,,,,175,2015-03-22 11:23:24,2015-03-22 11:25:08,正常完成
31,123.151.42.46,,,,,174,2015-03-22 11:24:33,2015-03-22 11:26:24,正常完成
33,117.136.40.177,,,,,184,2015-03-22 11:26:37,2015-03-22 11:27:28,正常完成
35,223.104.2.199,,,,,152,2015-03-22 11:26:23,2015-03-22 11:29:49,正常完成
37,153.0.0.226,,,,,64,2015-03-22 11:29:23,2015-03-22 11:31:04,正常完成
39,101.226.125.109,,,,,80,2015-03-22 11:30:37,2015-03-22 11:32:51,正常完成
41,130.220.8.137,,,,,55,2015-03-22 11:34:41,2015-03-22 11:36:03,正常完成
43,112.97.24.120,,,,,148,2015-03-22 11:35:09,2015-03-22 11:36:50,正常完成
45,101.226.125.108,,,,,128,2015-03-22 11:34:54,2015-03-22 11:36:57,正常完成
47,123.151.64.142,,,,,67,2015-03-22 11:36:25,2015-03-22 11:38:06,正常完成
49,101.36.71.10,,,,,60,2015-03-22 11:36:57,2015-03-22 11:38:25,正常完成
51,183.46.4.106,,,,,66,2015-03-22 11:35:56,2015-03-22 11:39:03,正常完成
53,119.85.39.65,,,,,46,2015-03-22 11:36:30,2015-03-22 11:39:16,正常完成
55,130.220.8.137,,,,,51,2015-03-22 11:39:20,2015-03-22 11:40:06,正常完成
57,117.136.45.184,,,,,169,2015-03-22 11:38:40,2015-03-22 11:41:18,正常完成
59,60.208.157.222,,,,,74,2015-03-22 11:40:02,2015-03-22 11:42:19,正常完成
